#{"t_start": 1737965427.0361888, "env_id": "None"}
r,l,t
5.0,11,0.714979
7.0,11,0.720876
5.0,12,0.726913
5.0,11,0.732372
5.0,13,0.738715
5.0,11,0.744148
7.0,11,0.749514
3.0,14,0.756271
6.0,11,0.761752
-2.0,18,0.770544
6.0,11,0.776155
6.0,11,0.7817
6.0,10,0.786835
6.0,11,0.792248
6.0,10,0.797522
6.0,11,0.803115
4.0,12,0.809152
5.0,12,0.815343
5.0,12,0.821429
6.0,11,0.826822
8.0,10,0.831901
4.0,14,0.839176
7.0,10,0.844279
6.0,12,0.850434
5.0,11,0.856266
8.0,12,0.862262
8.0,10,0.86761
6.0,11,0.873453
4.0,13,0.880096
7.0,10,0.884978
3.0,13,0.891402
6.0,10,0.896458
4.0,13,0.902773
8.0,10,0.907708
4.0,13,0.914039
6.0,10,0.918977
4.0,11,0.924274
4.0,11,0.929842
5.0,12,0.935691
4.0,12,0.94167
7.0,11,0.947064
4.0,11,0.952454
7.0,10,0.957381
3.0,14,0.964141
3.0,14,1.557745
1.0,15,1.566102
5.0,11,1.572101
3.0,13,1.579057
6.0,11,1.585022
4.0,13,1.591876
3.0,14,1.599637
8.0,10,1.604927
8.0,11,1.610662
5.0,11,1.616298
8.0,10,1.621655
5.0,11,1.62749
6.0,10,1.632813
5.0,12,1.63918
6.0,10,1.644359
5.0,11,1.650018
6.0,11,1.65582
7.0,11,1.661527
5.0,10,1.666852
6.0,10,1.672344
7.0,11,1.678605
1.0,15,1.688136
6.0,10,1.69376
6.0,11,1.699668
6.0,11,1.705752
5.0,11,1.711699
4.0,13,1.718418
8.0,10,1.723711
9.0,11,1.729721
9.0,10,1.735034
3.0,13,1.741587
7.0,10,1.746828
2.0,15,1.754429
5.0,12,1.760561
5.0,10,1.765774
7.0,12,1.77205
3.0,13,1.778797
5.0,12,1.785049
5.0,11,1.790882
6.0,12,1.797085
6.0,11,1.803117
4.0,11,1.808815
6.0,10,1.81444
8.0,10,1.819802
7.0,10,1.825023
5.0,10,2.340777
7.0,10,2.346484
5.0,12,2.35325
8.0,10,2.358863
6.0,11,2.364798
6.0,10,2.370101
8.0,10,2.375367
5.0,13,2.382124
8.0,11,2.388003
6.0,12,2.394089
3.0,13,2.400882
6.0,12,2.407033
7.0,10,2.412336
7.0,10,2.417667
8.0,10,2.422877
6.0,11,2.428509
6.0,11,2.434283
5.0,13,2.440924
6.0,11,2.44658
4.0,12,2.452831
6.0,10,2.458088
8.0,11,2.463722
6.0,10,2.468814
8.0,10,2.474055
6.0,10,2.479262
3.0,13,2.485854
